"filename", "language", "JavaScript", "CSS", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Order.js", "JavaScript", 415, 0, 0, 0, 0, 3, 23, 441
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Product.js", "JavaScript", 230, 0, 0, 0, 0, 11, 31, 272
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\ProductDetail.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\Setting.js", "JavaScript", 226, 0, 0, 0, 0, 8, 24, 258
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\CategoryManager.js", "JavaScript", 597, 0, 0, 0, 0, 28, 46, 671
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\Dashboard.js", "JavaScript", 926, 0, 0, 0, 0, 9, 34, 969
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\NewsManager.js", "JavaScript", 655, 0, 0, 0, 0, 32, 31, 718
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\OrderManager.js", "JavaScript", 484, 0, 0, 0, 0, 5, 21, 510
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\ProductManager.js", "JavaScript", 796, 0, 0, 0, 0, 29, 59, 884
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\UserManager.js", "JavaScript", 481, 0, 0, 0, 0, 8, 17, 506
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\auth\SignIn.js", "JavaScript", 256, 0, 0, 0, 0, 1, 36, 293
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\auth\SignUp.js", "JavaScript", 245, 0, 0, 0, 0, 0, 22, 267
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\styles\ckeditor.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AdminSideBar.js", "JavaScript", 65, 0, 0, 0, 0, 0, 8, 73
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AppRoutes.js", "JavaScript", 0, 0, 0, 0, 0, 25, 4, 29
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AppToast.js", "JavaScript", 0, 0, 0, 0, 0, 21, 2, 23
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AuthForm.js", "JavaScript", 0, 0, 0, 0, 0, 359, 43, 402
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AuthTabs.js", "JavaScript", 0, 0, 0, 0, 0, 22, 2, 24
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\CardNews.js", "JavaScript", 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\DashboardCards.js", "JavaScript", 0, 0, 0, 0, 0, 103, 4, 107
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\Payment.js", "JavaScript", 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\ServiceCard.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\SignInUp.js", "JavaScript", 0, 0, 0, 0, 0, 34, 7, 41
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\utils\auth.js", "JavaScript", 331, 0, 0, 0, 0, 90, 86, 507
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\trans.js", "JavaScript", 796, 0, 0, 0, 0, 29, 59, 884
"Total", "-", 13031, 706, 1, 21438, 66, 1060, 1372, 37674
